wc,date_clean,coach_id,coach,brazil_score,opponent,opponent_score,win,loss,draw,result,venue,city,country,official,competition,wc_quali,wc_match,tenure_count,overall_count,wc_count
2002,15/08/2001,Scolari-02,Luiz Felipe Scolari,2,Paraguai,0,1,0,0,W,Estádio Olímpico Monumental,Porto Alegre,Brasil,1,1,1,0,6,6,0
2002,5/9/01,Scolari-02,Luiz Felipe Scolari,1,Argentina,2,0,1,0,L,Estádio Monumental de Nuñez,Buenos Aires,Argentina,1,1,1,0,7,7,0
2002,7/10/01,Scolari-02,Luiz Felipe Scolari,2,Chile,0,1,0,0,W,Estádio Couto Pereira,Curitiba,Brasil,1,1,1,0,8,8,0
2002,7/11/01,Scolari-02,Luiz Felipe Scolari,1,Bolívia,3,0,1,0,L,Estádio Hernando Siles,La Paz,Bolívia,1,1,1,0,9,9,0
2002,14/11/2001,Scolari-02,Luiz Felipe Scolari,3,Venezuela,0,1,0,0,W,Estádio Castelão,São Luís,Brasil,1,1,1,0,10,10,0
2002,31/01/2002,Scolari-02,Luiz Felipe Scolari,6,Bolívia,0,1,0,0,W,Estádio Serra Dourada,Goiânia,Brasil,1,0,0,0,11,11,0
2002,6/2/02,Scolari-02,Luiz Felipe Scolari,1,Arábia Saudita,0,1,0,0,W,Estádio King Fahad International,Riyadh,Arábia Saudita,1,0,0,0,12,12,0
2002,7/3/02,Scolari-02,Luiz Felipe Scolari,6,Islândia,1,1,0,0,W,Estádio José Fragelli,Cuiabá,Brasil,1,0,0,0,13,13,0
2002,27/03/2002,Scolari-02,Luiz Felipe Scolari,1,Iugoslávia,0,1,0,0,W,Estádio Castelão,Fortaleza,Brasil,1,0,0,0,14,14,0
2002,17/04/2002,Scolari-02,Luiz Felipe Scolari,1,Portugal,1,0,0,1,D,Estádio José Alvalade,Lisboa,Portugal,1,0,0,0,15,15,0
2002,18/05/2002,Scolari-02,Luiz Felipe Scolari,3,Catalunha,1,1,0,0,W,Estádio Camp Nou,Barcelona,Espanha,0,0,0,0,15,15,0
2002,25/05/2002,Scolari-02,Luiz Felipe Scolari,4,Malásia,0,1,0,0,W,Estádio Nasional Bulkit Jalil,Kuala Lumpur,Malásia,1,0,0,0,16,16,0
2002,21/08/2002,Scolari-02,Luiz Felipe Scolari,0,Paraguai,1,0,1,0,L,Estádio Castelão,Fortaleza,Brasil,1,0,0,0,17,17,0
2006,12/2/03,Parreira-06,Carlos Alberto Parreira,0,China,0,0,0,1,D,Guandong Olympic,Guangzhou,China,1,0,0,0,1,59,7
2006,29/03/2003,Parreira-06,Carlos Alberto Parreira,1,Portugal,2,0,1,0,L,Estádio das Antas,Porto,Portugal,1,0,0,0,2,60,7
2006,30/04/2003,Parreira-06,Carlos Alberto Parreira,0,México,0,0,0,1,D,Estádio Jalisco,Guadalajara,México,1,0,0,0,3,61,7
2006,11/6/03,Parreira-06,Carlos Alberto Parreira,3,Nigéria,0,1,0,0,W,Abuja National Soccer Field,Abuja,Nigéria,1,0,0,0,4,62,7
2006,19/06/2003,Parreira-06,Carlos Alberto Parreira,0,Camarões,1,0,1,0,L,Stade de France,Saint-Denis,França,1,1,0,0,5,63,7
2006,21/06/2003,Parreira-06,Carlos Alberto Parreira,1,Estados Unidos,0,1,0,0,W,Stade Gerland,Lyon,França,1,1,0,0,6,64,7
2006,23/06/2003,Parreira-06,Carlos Alberto Parreira,2,Turquia,2,0,0,1,D,Stade Geoffroy-Guichard,Saint-Étienne,França,1,1,0,0,7,65,7
2006,7/9/03,Parreira-06,Carlos Alberto Parreira,2,Colômbia,1,1,0,0,W,Estádio Metropolitano Roberto Meléndez,Barranquilla,Colômbia,1,0,1,0,8,66,7
2006,10/9/03,Parreira-06,Carlos Alberto Parreira,1,Equador,0,1,0,0,W,Estádio Vivaldo Lima,Manaus,Brasil,1,0,1,0,9,67,7
2006,12/10/03,Parreira-06,Carlos Alberto Parreira,1,Jamaica,0,1,0,0,W,Walkers Stadium,Leicester,Inglaterra,1,0,0,0,10,68,7
2006,16/11/2003,Parreira-06,Carlos Alberto Parreira,1,Peru,1,0,0,1,D,Estádio Monumental,Lima,Peru,1,0,1,0,11,69,7
2006,19/11/2003,Parreira-06,Carlos Alberto Parreira,3,Uruguai,3,0,0,1,D,Complexo Esportivo Pinheirão,Curitiba,Brasil,1,0,1,0,12,70,7
2006,18/02/2004,Parreira-06,Carlos Alberto Parreira,0,Irlanda,0,0,0,1,D,Lansdowne Road Stadium,Dublin,Irlanda,1,0,0,0,13,71,7
2006,31/03/2004,Parreira-06,Carlos Alberto Parreira,0,Paraguai,0,0,0,1,D,Estádio Defensores del Chaco,Asunción,Paraguai,1,1,1,0,14,72,7
2006,28/04/2004,Parreira-06,Carlos Alberto Parreira,4,Hungria,1,1,0,0,W,Férenc Puskás-Stadion,Budapest,Hungria,1,0,0,0,15,73,7
2006,20/05/2004,Parreira-06,Carlos Alberto Parreira,0,França,0,0,0,1,D,Stade de France,Saint-Denis,França,1,0,0,0,16,74,7
2006,25/05/2004,Parreira-06,Carlos Alberto Parreira,5,Catalunha,2,1,0,0,W,Estádio Camp Nou,Barcelona,Espanha,0,0,0,0,16,74,7
2006,2/6/04,Parreira-06,Carlos Alberto Parreira,3,Argentina,1,1,0,0,W,Estádio Mineirão,Belo Horizonte,Brasil,1,1,1,0,17,75,7
2006,6/6/04,Parreira-06,Carlos Alberto Parreira,1,Chile,1,0,0,1,D,Estádio Nacional,Santiago,Chile,1,1,1,0,18,76,7
2006,8/7/04,Parreira-06,Carlos Alberto Parreira,1,Chile,0,1,0,0,W,Estádio Monumental de la Universidad,Arequipa,Peru,1,1,0,0,19,77,7
2006,11/7/04,Parreira-06,Carlos Alberto Parreira,4,Costa Rica,1,1,0,0,W,Estádio Monumental de la Universidad,Arequipa,Peru,1,1,0,0,20,78,7
2006,14/07/2004,Parreira-06,Carlos Alberto Parreira,1,Paraguai,2,0,1,0,L,Estádio Monumental de la Universidad,Arequipa,Peru,1,1,0,0,21,79,7
2006,18/07/2004,Parreira-06,Carlos Alberto Parreira,4,México,0,1,0,0,W,Estádio Miguel Grau,Piura,Peru,1,1,0,0,22,80,7
2006,21/07/2004,Parreira-06,Carlos Alberto Parreira,1,Uruguai,1,0,0,1,D,Estádio Nacional del Peru,Lima,Peru,1,1,0,0,23,81,7
2006,25/07/2004,Parreira-06,Carlos Alberto Parreira,2,Argentina,2,0,0,1,D,Estádio Nacional del Peru,Lima,Peru,1,1,0,0,24,82,7
2006,18/08/2004,Parreira-06,Carlos Alberto Parreira,6,Haiti,0,1,0,0,W,Stade Sylvio Cator,Port-Au-Prince,Haiti,1,0,0,0,25,83,7
2006,5/9/04,Parreira-06,Carlos Alberto Parreira,3,Bolívia,1,1,0,0,W,Estádio do Morumbi,São Paulo,Brasil,1,1,1,0,26,84,7
2006,8/9/04,Parreira-06,Carlos Alberto Parreira,1,Alemanha,1,0,0,1,D,Olympiastadion,Berlin,Alemanha,1,0,0,0,27,85,7
2006,9/10/04,Parreira-06,Carlos Alberto Parreira,5,Venezuela,2,1,0,0,W,Estádio José Pachenco Romero,Maracaibo,Venezuela,1,1,1,0,28,86,7
2006,13/10/2004,Parreira-06,Carlos Alberto Parreira,0,Colômbia,0,0,0,1,D,Estádio Rei Pelé,Maceió,Brasil,1,1,1,0,29,87,7
2006,17/11/2004,Parreira-06,Carlos Alberto Parreira,0,Equador,1,0,1,0,L,Estádio Olímpico Atahualpa,Quito,Equador,1,1,1,0,30,88,7
2006,9/2/05,Parreira-06,Carlos Alberto Parreira,7,Hong Kong,1,1,0,0,W,Hong Kong Stadium,Hong Kong,Hong Kong,1,1,0,0,31,89,7
2006,27/03/2005,Parreira-06,Carlos Alberto Parreira,1,Peru,0,1,0,0,W,Estádio Serra Dourada,Goiânia,Brasil,1,1,1,0,32,90,7
